Year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1993,8.29,19.03,41.76,76.36,115.84,156.43,186.51,204.47,213.24,214.56,212.97,210.74,211.31,214.84,218.38,220.75,219.98,215.93,210.25,202.73,191.54,175.05,156.62,136.84,115.64,92.07,71.58,53.15,37.96,26.21,18.32,12.16,8.01,5.43,3.25
1994,6.77,16.52,38.64,73.17,113.18,154.78,185.68,204.16,213.29,214.84,213.35,211.12,211.53,214.75,217.94,219.96,218.75,214.24,208.07,200.09,188.54,171.98,153.63,134.05,113.21,90.24,70.20,52.16,37.28,25.77,18.00,11.94,7.87,5.36,3.24
1995,6.91,16.99,39.10,73.18,112.36,152.92,183.58,202.63,212.41,214.44,213.01,210.34,210.23,212.93,215.63,217.15,215.96,211.91,206.74,200.11,189.79,173.66,155.42,135.66,114.21,89.89,69.27,50.99,36.07,24.66,17.34,11.44,7.52,5.09,3.05
1996,8.59,20.24,43.14,76.92,114.52,152.55,181.78,200.71,210.83,213.38,212.23,209.43,209.14,211.67,214.16,215.35,214.33,210.89,206.87,201.77,192.78,176.95,158.66,138.49,116.09,89.90,68.40,49.70,34.63,23.28,16.48,10.81,7.04,4.69,2.75
1997,8.69,20.36,43.29,77.11,114.78,152.86,182.03,200.78,210.69,213.00,211.48,208.18,207.15,208.75,210.35,210.82,209.30,205.63,201.39,196.11,187.19,172.04,154.57,135.31,113.97,89.20,68.41,50.05,35.04,23.53,16.24,10.44,6.61,4.28,2.46
1998,8.77,20.40,43.22,76.88,114.40,152.36,181.33,199.80,209.44,211.49,209.62,205.83,204.09,204.79,205.53,205.32,203.35,199.46,195.03,189.61,180.82,166.39,149.80,131.52,111.30,88.02,68.03,50.11,35.27,23.69,15.97,10.08,6.22,3.93,2.21
1999,8.90,20.47,43.20,76.72,114.07,151.76,180.22,197.97,206.99,208.59,206.37,202.28,200.06,200.08,200.15,199.39,196.92,192.62,187.70,181.77,172.77,158.84,143.00,125.67,106.66,85.07,66.16,49.02,34.69,23.38,15.56,9.77,5.98,3.75,2.11
2000,8.38,19.39,41.36,74.02,110.67,147.94,176.21,193.99,203.20,205.07,203.03,198.94,196.38,195.75,195.11,193.70,190.73,186.10,180.87,174.71,165.74,152.41,137.35,120.95,103.03,82.90,64.89,48.36,34.37,23.19,15.16,9.41,5.65,3.49,1.93
2001,7.88,18.35,39.73,71.81,108.08,145.16,173.17,190.61,199.51,201.16,198.92,194.64,191.74,190.64,189.55,187.82,184.59,179.79,174.35,167.95,158.98,146.19,131.83,116.26,99.36,80.62,63.49,47.55,33.93,22.91,14.72,9.03,5.33,3.23,1.77
2002,7.58,17.63,38.20,69.11,104.16,140.08,167.38,184.60,193.65,195.70,193.86,189.84,186.91,185.46,183.92,181.67,177.99,172.83,167.13,160.61,151.71,139.26,125.39,110.43,94.27,76.42,60.13,45.02,32.13,21.72,14.01,8.64,5.14,3.16,1.75
2003,7.77,17.73,37.40,66.59,99.66,133.68,160.28,178.04,188.24,191.74,191.08,187.73,184.82,182.78,180.37,177.08,172.61,166.95,161.03,154.58,145.98,133.98,120.65,106.29,90.74,73.50,57.82,43.27,30.86,20.82,13.40,8.25,4.89,3.00,1.65
2004,8.35,18.68,38.18,66.61,98.77,132.00,158.88,178.03,189.91,195.11,195.61,192.70,189.54,186.64,183.09,178.52,173.11,166.90,160.78,154.42,146.06,134.36,121.32,107.23,91.83,74.67,58.90,44.19,31.52,21.18,13.39,8.11,4.69,2.78,1.49
2005,8.91,19.56,38.77,66.28,97.38,129.71,156.88,177.50,191.16,198.12,199.80,197.28,193.78,189.89,185.11,179.19,172.86,166.20,159.99,153.86,145.91,134.68,122.10,108.41,93.28,76.31,60.48,45.54,32.52,21.75,13.42,7.96,4.43,2.50,1.27
